game_date_time,home_team,away_team,home_score,away_score,score_difference,home_hits,home_bb,home_homeruns,home_stolenbases,home_strikeouts,home_doubleplays,home_errors,away_hits,away_bb,away_homeruns,away_stolenbases,away_strikeouts,away_doubleplays,away_errors,home_pitching,away_pitching,win,home_starter,away_starter
2021-04-14,삼성,한화,2,6,4,4.0,2.0,0.0,2.0,5.0,1.0,0.0,11.0,3.0,0.0,2.0,9.0,1.0,0.0,16.61,18.21,2,이승민,킹험
2021-04-14,두산,KT,3,1,2,6.0,5.0,0.0,1.0,11.0,1.0,0.0,7.0,2.0,0.0,1.0,7.0,1.0,1.0,4.09,22.23,1,이영하,배제성
2021-04-14,키움,LG,2,13,11,3.0,3.0,0.0,0.0,6.0,2.0,1.0,14.0,7.0,4.0,0.0,8.0,0.0,0.0,96.91,29.25,2,김정인,정찬헌
2021-04-14,KIA,롯데,3,2,1,5.0,7.0,0.0,3.0,6.0,2.0,1.0,10.0,5.0,0.0,0.0,5.0,1.0,0.0,18.94,18.51,1,브룩스,이승헌
2021-04-14,SSG,NC,0,3,3,5.0,4.0,0.0,1.0,8.0,0.0,0.0,2.0,3.0,0.0,0.0,8.0,0.0,0.0,13.8,28.76,2,문승원,파슨스
2021-04-15,삼성,한화,4,0,4,4.0,7.0,1.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,11.0,2.0,1.0,1.74,16.41,1,뷰캐넌,김민우
2021-04-15,두산,KT,3,8,5,6.0,3.0,0.0,0.0,5.0,1.0,2.0,17.0,6.0,0.0,0.0,7.0,1.0,2.0,21.060000000000002,21.53,2,유희관,쿠에바스
2021-04-15,키움,LG,4,6,2,10.0,1.0,0.0,0.0,6.0,1.0,0.0,8.0,2.0,2.0,1.0,10.0,0.0,1.0,7.35,23.42,2,요키시,함덕주
2021-04-15,KIA,롯데,10,5,5,13.0,9.0,0.0,1.0,4.0,1.0,0.0,9.0,7.0,0.0,3.0,11.0,0.0,0.0,26.64,33.47,1,이의리,김진욱
2021-04-15,SSG,NC,9,3,6,13.0,0.0,2.0,1.0,6.0,1.0,0.0,5.0,5.0,1.0,0.0,9.0,0.0,1.0,24.11,24.53,1,이건욱,김영규
2021-04-16,SSG,KIA,6,11,5,11.0,10.0,1.0,0.0,8.0,1.0,1.0,16.0,4.0,0.0,0.0,8.0,0.0,0.0,33.4,43.31,2,르위키,임기영
2021-04-16,LG,두산,1,0,1,7.0,5.0,0.0,1.0,3.0,2.0,1.0,6.0,7.0,0.0,0.0,5.0,2.0,1.0,11.59,1.56,1,켈리,로켓
2021-04-16,롯데,삼성,9,3,6,10.0,6.0,1.0,0.0,8.0,0.0,2.0,11.0,5.0,0.0,1.0,7.0,1.0,1.0,15.129999999999999,36.05,1,스트레일리,라이블리
2021-04-16,KT,키움,8,4,4,8.0,5.0,0.0,0.0,6.0,0.0,0.0,10.0,2.0,1.0,1.0,7.0,1.0,0.0,28.28,18.91,1,소형준,한현희
2021-04-16,NC,한화,9,1,8,11.0,7.0,2.0,1.0,5.0,0.0,0.0,7.0,3.0,0.0,0.0,10.0,0.0,1.0,12.94,27.81,1,루친스키,장시환
2021-04-17,SSG,KIA,4,3,1,12.0,3.0,2.0,1.0,8.0,0.0,2.0,7.0,6.0,0.0,1.0,6.0,0.0,0.0,7.17,49.31,1,박종훈,멩덴
2021-04-17,NC,한화,14,4,10,14.0,11.0,4.0,2.0,12.0,0.0,0.0,6.0,2.0,1.0,1.0,8.0,0.0,1.0,25.25,55.34,1,송명기,김범수
